id,lat,long
1,47.05282,-60.50085
2,47.05282,-60.30085
3,46.85282,-60.70085
4,46.85282,-60.50085
5,46.85282,-60.30085
6,46.65282,-60.90085
7,46.65282,-60.70085
8,46.65282,-60.50085
9,46.65282,-60.30085
10,46.45282,-61.10085
11,46.45282,-60.90085
12,46.45282,-60.70085
13,46.45282,-60.50085
14,46.45282,-60.30085
15,46.25282,-61.50085
16,46.25282,-61.30085
17,46.25282,-61.10085
18,46.25282,-60.90085
19,46.25282,-60.70085
20,46.25282,-60.50085
21,46.25282,-60.30085
22,46.25282,-60.10085
23,46.25282,-59.90085
24,46.05282,-63.90085
25,46.05282,-61.50085
26,46.05282,-61.30085
27,46.05282,-61.10085
28,46.05282,-60.90085
29,46.05282,-60.70085
30,46.05282,-60.50085
31,46.05282,-60.30085
32,46.05282,-60.10085
33,46.05282,-59.90085
34,46.05282,-59.70085
35,45.85282,-64.30085
36,45.85282,-64.10085
37,45.85282,-63.90085
38,45.85282,-63.70085
39,45.85282,-63.50085
40,45.85282,-63.30085
41,45.85282,-63.10085
42,45.85282,-62.90085
43,45.85282,-62.70085
44,45.85282,-62.50085
45,45.85282,-62.30085
46,45.85282,-62.10085
47,45.85282,-61.90085
48,45.85282,-61.50085
49,45.85282,-61.30085
50,45.85282,-61.10085
51,45.85282,-60.90085
52,45.85282,-60.70085
53,45.85282,-60.50085
54,45.85282,-60.30085
55,45.85282,-60.10085
56,45.85282,-59.90085
57,45.85282,-59.70085
58,45.65282,-64.70085
59,45.65282,-64.50085
60,45.65282,-64.30085
61,45.65282,-64.10085
62,45.65282,-63.90085
63,45.65282,-63.70085
64,45.65282,-63.50085
65,45.65282,-63.30085
66,45.65282,-63.10085
67,45.65282,-62.90085
68,45.65282,-62.70085
69,45.65282,-62.50085
70,45.65282,-62.30085
71,45.65282,-62.10085
72,45.65282,-61.90085
73,45.65282,-61.70085
74,45.65282,-61.50085
75,45.65282,-61.30085
76,45.65282,-61.10085
77,45.65282,-60.90085
78,45.65282,-60.70085
79,45.65282,-60.50085
80,45.65282,-60.30085
81,45.45282,-64.90085
82,45.45282,-64.70085
83,45.45282,-64.50085
84,45.45282,-64.30085
85,45.45282,-64.10085
86,45.45282,-63.90085
87,45.45282,-63.70085
88,45.45282,-63.50085
89,45.45282,-63.30085
90,45.45282,-63.10085
91,45.45282,-62.90085
92,45.45282,-62.70085
93,45.45282,-62.50085
94,45.45282,-62.30085
95,45.45282,-62.10085
96,45.45282,-61.90085
97,45.45282,-61.70085
98,45.45282,-61.50085
99,45.45282,-61.30085
100,45.45282,-61.10085
101,45.45282,-60.90085
102,45.45282,-60.70085
103,45.25282,-64.90085
104,45.25282,-64.70085
105,45.25282,-64.50085
106,45.25282,-64.30085
107,45.25282,-64.10085
108,45.25282,-63.90085
109,45.25282,-63.70085
110,45.25282,-63.50085
111,45.25282,-63.30085
112,45.25282,-63.10085
113,45.25282,-62.90085
114,45.25282,-62.70085
115,45.25282,-62.50085
116,45.25282,-62.30085
117,45.25282,-62.10085
118,45.25282,-61.90085
119,45.25282,-61.70085
120,45.25282,-61.50085
121,45.25282,-61.30085
122,45.25282,-61.10085
123,45.05282,-65.30085
124,45.05282,-65.10085
125,45.05282,-64.90085
126,45.05282,-64.70085
127,45.05282,-64.50085
128,45.05282,-64.30085
129,45.05282,-64.10085
130,45.05282,-63.90085
131,45.05282,-63.70085
132,45.05282,-63.50085
133,45.05282,-63.30085
134,45.05282,-63.10085
135,45.05282,-62.90085
136,45.05282,-62.70085
137,45.05282,-62.50085
138,45.05282,-62.30085
139,45.05282,-62.10085
140,45.05282,-61.90085
141,45.05282,-61.70085
142,45.05282,-61.50085
143,45.05282,-61.30085
144,44.85282,-65.50085
145,44.85282,-65.30085
146,44.85282,-65.10085
147,44.85282,-64.90085
148,44.85282,-64.70085
149,44.85282,-64.50085
150,44.85282,-64.30085
151,44.85282,-64.10085
152,44.85282,-63.90085
153,44.85282,-63.70085
154,44.85282,-63.50085
155,44.85282,-63.30085
156,44.85282,-63.10085
157,44.85282,-62.90085
158,44.85282,-62.70085
159,44.85282,-62.50085
160,44.85282,-62.30085
161,44.85282,-62.10085
162,44.65282,-65.90085
163,44.65282,-65.70085
164,44.65282,-65.50085
165,44.65282,-65.30085
166,44.65282,-65.10085
167,44.65282,-64.90085
168,44.65282,-64.70085
169,44.65282,-64.50085
170,44.65282,-64.30085
171,44.65282,-64.10085
172,44.65282,-63.90085
173,44.65282,-63.70085
174,44.65282,-63.50085
175,44.65282,-63.30085
176,44.65282,-63.10085
177,44.65282,-62.90085
178,44.45282,-66.30085
179,44.45282,-66.10085
180,44.45282,-65.90085
181,44.45282,-65.70085
182,44.45282,-65.50085
183,44.45282,-65.30085
184,44.45282,-65.10085
185,44.45282,-64.90085
186,44.45282,-64.70085
187,44.45282,-64.50085
188,44.45282,-64.30085
189,44.45282,-64.10085
190,44.45282,-63.90085
191,44.45282,-63.70085
192,44.45282,-63.50085
193,44.25282,-66.50085
194,44.25282,-66.30085
195,44.25282,-66.10085
196,44.25282,-65.90085
197,44.25282,-65.70085
198,44.25282,-65.50085
199,44.25282,-65.30085
200,44.25282,-65.10085
201,44.25282,-64.90085
202,44.25282,-64.70085
203,44.25282,-64.50085
204,44.25282,-64.30085
205,44.05282,-66.30085
206,44.05282,-66.10085
207,44.05282,-65.90085
208,44.05282,-65.70085
209,44.05282,-65.50085
210,44.05282,-65.30085
211,44.05282,-65.10085
212,44.05282,-64.90085
213,44.05282,-64.70085
214,44.05282,-64.50085
215,43.85282,-66.10085
216,43.85282,-65.90085
217,43.85282,-65.70085
218,43.85282,-65.50085
219,43.85282,-65.30085
220,43.85282,-65.10085
221,43.85282,-64.90085
222,43.85282,-64.70085
223,43.65281,-65.90085
224,43.65281,-65.70085
225,43.65281,-65.50085
226,43.65281,-65.30085
227,43.65281,-65.10085
228,43.45281,-65.70085
229,43.45281,-65.50085
230,43.45281,-65.30085
